date,broker,type,stock,industry,rating,target_price,note
2026-07-09,Goldman Sachs,外資,萬潤(6187),半導體設備,買進,1550,前值1650；已做三頁摘要
2026-07-08,Factset彙整,外資,台積電(2330),半導體,強力買進,2888,前值2800
2026-07-08,Factset彙整,外資,穩懋(3105),半導體,觀望,562.5,前值590
2026-07-08,Factset彙整,外資,聯詠(3034),IC設計,,475,
2026-07-08,Factset彙整,外資,創意(3443),IC設計,,5699,
2026-07-08,Factset彙整,外資,F-矽力(6415),IC設計,,600,
2026-07-07,Factset彙整,外資,臻鼎-KY(4958),PCB,強力買進,636.5,前值616.5
2026-07-07,Factset彙整,外資,南亞科(2408),記憶體,買進,548,前值520
2026-07-07,Factset彙整,外資,台光電(2383),CCL,,6600,
2026-07-07,Factset彙整,外資,南電(8046),PCB,,1300,
2026-07-07,Factset彙整,外資,勤誠(8210),機殼,,1790,
2026-07-07,Factset彙整,外資,川湖(2059),滑軌,,7115,
2026-07-07,Factset彙整,外資,儒鴻(1476),紡織,,455,
2026-07-09,外資(未具名),外資,聯發科(2454),IC設計,未揭露,10000,新聞來源；分析師質疑假設；已做個股摘要
2026-07-12,美銀,外資,記憶體族群(南亞科2408/華邦電2344/旺宏2337),半導體-記憶體,無(產業觀點),無,韓國擴產扣除減損後實際年增<10%供不應求未變；來源ctee 20260712700010
2026-07-12,伯恩斯坦,外資,記憶體族群(南亞科2408/華邦電2344/旺宏2337),半導體-記憶體,無(產業觀點),無,示警中國長江存儲/長鑫2028年市占估19%/11%；來源ctee 20260712700010
2026-07-12,廣發證券,外資(陸資),記憶體需求面(輝達供應鏈),半導體-記憶體,無(產業觀點),無,輝達Rubin平台LPDDR5X容量砍半 終端降規恐觸發需求修正；來源ctee 20260712700010
2026-07-12,未具名法人,內資,載板三雄(欣興3037/南電8046/景碩3189),半導體-載板,無(產業觀點),無,ABF缺口2027年擴至26% 訂單看到2028 T-Glass缺料為瓶頸；來源ctee 20260712700035
2026-07-12,高盛,外資,川湖(2059),伺服器滑軌,未揭露,12000,前值7664；2026-28淨利上調39%/36%/48%；已做個股摘要
2026-07-12,伯恩斯坦,外資,大立光(3008),光學元件,優於大盤,5150,法說後看CPO/FA與Q3旺季；已做個股摘要
2026-07-06,花旗,外資,台積電(2330),半導體-晶圓代工,買入,3800,法人圈新天價；補收錄；已做個股摘要
2026-07-08,小摩,外資,台積電(2330),半導體-晶圓代工,增持,3100,Q2毛利率估69.5%；補收錄；已做個股摘要
2026-07-04,高盛,外資,台積電(2330),半導體-晶圓代工,買進,3000,前值2750；補收錄；已做個股摘要
2026-07-03,高盛,外資,聯發科(2454),IC設計,買進,6800,前值5000；AI ASIC大幅上修；補收錄；已做個股摘要
2026-07-10,凱基投顧,內資,南亞科(2408),半導體-記憶體,記憶體首選,720,前值520；補收錄；已做個股摘要
2026-07-07,日系外資(未具名),外資,南亞科(2408),半導體-記憶體,未揭露,650,標題訊息細節待確認；補收錄
2026-07-11,瑞銀,外資,台達電(2308),電源/電力電子,喊買,待確認,看好AI電源動能目標價待確認；補收錄
2026-07-12,元大投顧,內資,台積電(2330),半導體-晶圓代工,買進,3200,前值2600；2026/27年EPS上修至101.49/143.82元；已做個股摘要
2026-07-12,中時彙整(六家外資),外資,台積電(2330),半導體-晶圓代工,無(彙整),無,法說前外資目標價：高盛3000/里昂3330/麥格理3380/瑞銀3400/Aletheia3500/花旗3800；原報告多為6月下旬至7月上旬發布；來源chinatimes 20260712001371
2026-07-13,高盛,外資,南電(8046),半導體-載板,買進(首選),2310,前值1115；ABF史詩級缺貨報告 缺貨率2026H2/27/28估14%/34%/51%；已做個股摘要；來源udn 9624978
2026-07-13,高盛,外資,景碩(3189),半導體-載板,買進,1120,前值555；2027-28年EPS上修8%/38%；已做個股摘要；來源udn 9624978
2026-07-13,高盛,外資,欣興(3037),半導體-載板,中立,1140,前值630；目標價近倍增但評等僅中立；已做個股摘要；來源udn 9624978
2026-07-13,高盛,外資,臻鼎-KY(4958),半導體-載板/PCB,買進,824,前值388；2027-28年EPS上修2%/11%；已做個股摘要；來源udn 9624978
2026-07-13,瑞銀,外資,南亞科(2408),半導體-記憶體,買進,555,前值495；Q3 ASP估季增32% 2026/27年EPS上修至62.35/103.66元；已做個股摘要；來源udn 9624296
2026-07-13,大摩,外資,南亞科(2408),半導體-記憶體,優於大盤,580,前值550；DDR4嚴重短缺 2025-28 EPS CAGR估216%；已做個股摘要；來源udn 9624296
2026-07-13,美銀,外資,南亞科(2408),半導體-記憶體,買進,660,前值未揭露；報導中最高目標價 詳細假設待確認；已做個股摘要；來源udn 9624296
2026-07-13,本土投顧(未具名),內資,大立光(3008),光學元件,買進,5643,前值未揭露；2027年EPS 209元×27倍PE；已做個股摘要；來源ettoday 3199967
2026-07-13,小摩,外資,台塑(1301),塑化,優於大盤,60,集團Q2稅後純益642.76億年增45.5% 美國ECC利差強勁；13日收60.2已越過目標價；已做個股摘要；來源cnyes 6532284
